RAW; FILTERED 10; LEVEL
695;695;1
703;699;1
711;703;1
713;705.5;1
712;706.8;1
723;709.5;1
713;710;1
715;710.62;1
719;711.56;1
716;712;1
729;715.4;1
758;720.9;1
779;727.7;1
815;737.9;1
839;750.6;1
859;764.2;1
941;787;1
1199;835.4;1
1437;907.2;1
1673;1002.9;1
1847;1114.7;1
2022;1241.1;1
2221;1385.3;1
2438;1547.6;1
2719;1735.6;1
3148;1964.5;1
3559;2226.3;0
3872;2493.6;0
4007;2750.6;0
4031;2986.4;0
3989;3200.6;0
3993;3397.7;0
3956;3571.2;0
4095;3736.9;0
4095;3874.5;0
4095;3969.2;0
4095;4022.8;0
4095;4045.1;0
4004;4044.8;0
3817;4023.4;0
3803;4004.8;0
3833;3988.8;0
3837;3976.9;0
3837;3951.1;0
3807;3922.3;0
3783;3891.1;0
3743;3855.9;0
3759;3822.3;0
3765;3798.4;0
3782;3794.9;0
3758;3790.4;0
3803;3787.4;0
3735;3777.2;0
3299;3723.4;0
2837;3626.4;0
2460;3494.1;0
2217;3341.5;0
1855;3151.1;0
1176;2892.2;0
1003;2614.3;0
943;2332.8;0
911;2043.6;0
845;1754.6;0
811;1505.8;1
797;1301.8;1
787;1134.5;1
779;990.7;1
775;882.7;1
767;841.8;1
762;817.7;1
759;799.3;1
757;783.9;1
750;774.4;1
758;769.1;1
740;763.4;1
734;758.1;1
733;753.5;1
727;748.7;1
729;744.9;1
728;741.5;1
728;738.4;1
725;735.2;1
726;732.8;1
722;729.2;1
725;727.7;1
730;727.3;1
731;727.1;1
738;728.2;1
741;729.4;1
744;731;1
749;733.1;1
748;735.4;1
752;738;1
745;740.3;1
745;742.3;1
749;744.2;1
825;753.6;1
863;766.1;1
1449;836.9;1
2011;963.6;1
2263;1115;1
2505;1290.7;1
2879;1503.4;1
3281;1757;1
3519;2034.4;0
3653;2324.8;0
3397;2582;0
3487;2844.4;0
3819;3081.4;0
4095;3289.8;0
4095;3473;0
4095;3632;0
4095;3753.6;0
4094;3834.9;0
4063;3889.3;0
4056;3929.6;0
4023;3992.2;0
4023;4045.8;0
4067;4070.6;0
4084;4069.5;0
4095;4069.5;0
4095;4069.5;0
4093;4069.3;0
4071;4067;0
4049;4065.6;0
4072;4067.2;0
4095;4074.4;0
4095;4081.6;0
4095;4084.4;0
4095;4085.5;0
4095;4085.5;0
4095;4085.5;0
4057;4081.9;0
3929;4067.7;0
3729;4035.7;0
3391;3967.6;0
3079;3866;0
2771;3733.6;0
2484;3572.5;0
2257;3388.7;0
2089;3188.1;0
1941;2972.7;0
1738;2740.8;0
1225;2470.4;0
944;2191.9;0
887;1941.5;0
820;1715.6;0
791;1517.6;1
775;1346.7;1
773;1198.3;1
775;1066.9;1
779;950.7;1
792;856.1;1
781;811.7;1
775;794.8;1
749;781;1
742;773.2;1
735;767.6;1
731;763.2;1
728;758.7;1
726;753.8;1
725;748.4;1
718;741;1
719;734.8;1
714;728.7;1
720;725.8;1
716;723.2;1
715;721.2;1
713;719.4;1
717;718.3;1
717;717.4;1
